Book,Chapter,Verse,Scripture
40,1,20,"Bikava'ibodivaranivini kaba'i ida Maria-ra kava'ipahinivini, Deus ibavi kaija'arini abono-ra nanokia'aha vadamia. Bini'aha ada Davi kohana kaija'ari namitharonisiagaki José oniki:<CM>—José, hari'a ikava'ibodivaranijana ida Maria-ra ikanagamohavini-ra ikava'ipahinivini. Ni-makhira bivaisaki ida Maria. Ma'onahai Jahaki vania bivaisaja ida."
40,1,21,Makhira isani ada isai Maria biakaijohara. 'Bana'aha inaoni bana ada isai ‘Jesua’. Jesus onina akava'ijoahi abono. Jesus va'ora akava'ijoaki bana adani kidija'ari vakamitharia kaimoni ida vakadihojai asohiriki abosini imai 'banania Ibavi Jaharika'oaki kania — niha ada Deus ibavi kaija'arini.<CM>
40,1,22," 'Bo'dakari Deua binava'isohijora'iki ada athi namoniva abono: (-)<CM>Hari. Oniaroa, Maria kania namitha'ihi ida athii. Series([], )"
40,1,24,"Oniaroa, nokho'afora'aha ada José, binaaba'ihi ida Deus ibavi kaija'arini athi, kidigamo hika'oa'ia kaimoni ida Maria."
40,1,25,Maria kaisai 'banarina oadani Joséa ni-bivi'omapa'itxiki ida kidigamo. 'Bana'ina naothinia Jesus vania Joséa binaoni'aha ada isai.<CM>
40,2,1,"<TS1>Makhira vanako'dihaki<Ts><TS2>ada isai<Ts>Hari. Judéia kaarabonia 'bana'aha ada Jesus, Belém sidajia. Jesua biva'banaki kari arabo kaka'da'dini ada Iroji.<CM>Jesua biva'banaki kari vani, nokiabiininira ada boviri karaho ja'di. Arabo napaja safinia bivikhamananiki kaniaja vahojaki adani makhira boviri-ra vada avani'asibakhiaki, avigaja kaimoni ida namitha'iariki. Vakadihojai oamani hiki ida. Judeus kaija'ari vihiriha adani. Hari. Vanoki'aha ada boviri ja'di, vaabono vakani'akhama'aha:<CM>—Judeus kaija'ari vakadika'da'di ja'di 'bana'ina karajomini o boviri ja'di. Anako'dihava ada isai tanaki.<CM>Oniaroa, vaibavia ai vihi'aha, Judéia kaarabonia Jerusaléa avikha'aha.<CM>"
40,2,2,"Jerusalém sidajia vakaikahi'aha, va'ora vanana'dohi'aha adani sidaji kaija'arini:<CM>—Ada hana vania isai 'bana'iki, ovari judeus kaija'ari-ra va'ora vaka'da'diki kaimoni ada? Akadiarabo arihojana vani anokira ada boviri ja'di, safinia bivikhamananiki kaniaja khamananina, kha'aha ada boviri hidiaja. Boviri ja'dia bikarajomiki ida ka'da'di danoki 'bana'ina, oniani hida haria rakhaja hida. Anofiki ida judeus kaija'ari vakadika'da'di-ra akanamasivivini — vakhaniha.<CM>"
40,2,3,"Oniaroa, Irojia bikamitha'ihi ida makhira vakaikahina vamonina, bikamitha'ihi ida ka'da'di danoki 'bana'ina varani hina. Iroji ka'da'di hijanarina-ra finivini mani ida Iroji-ra anava'isokonija. Jerusalém sidaji kaija'arini Iroji-ra vifiniki, oniani ida ka'da'di ja'dini kavaranihi-ra avakava'isokonivini hija jaboni."
40,2,4,"Hari. Iroji va'ora baranaha'aha adani sasidotxi vavaka'da'diva, judeus kaija'ari vaka'ojomo'iva abono khama kidiania vajoronina. Va'ora nana'dohi'aha ada Iroji:<CM>—Hana hini ibavia 'banaki bana ada ija'ari hahavi vakadika'da'di Cristoa oniki?<CL>"
40,2,5,"Vagathani'ihi ida Iroji kana'dohi:<CM>—Judéia kaarabonia, Belém kasidajini vania 'banara bana ada. 'Bo'dakari Deus athi namoniva abono kohana binajiri'iki ida papira afojora:<CI>"
40,2,6,"<PI>“Belém sidaji kaija'arini a'oni.<CI><PI2>Hari'a avava'ini-ra anaipahihiva ida Belém sidaji pa'itxini.<CI>Pa'itxini kaba'i ida avakadisidaji,<CI>oniania 'banara bana ada akadija'ari vakadika'da'di.<CI>Israel kaija'ari vakadimahi nasohiva kaimoni ada ovari.”<CI><PI0>Nihi ida Deus athi papira hojaki. Nimania ida Deus athi namoniva abono kajirihi athini — Iroji-ra vani'aha adani judeus kaija'ari vaka'ojomo'iva abono.<CM>"
40,2,7,"Oniaroa, Iroji abono-ra ni'aha:<CM>—Va'ora okorijanahaki bana adani makhira boviri-ra vanoki'iki, isai-ra vakaragavini naothinia, ovahonariahiki bana ada abinina.<CM>Oniaroa, Iroji va'ora kaboa'i'aha adani makhira boviri-ra vanoki'iki, hi'adani safini khamananina kaniaja vikha'iki. Kidiania vikhajakosi'aha. Ni-ija'ari vahoariha o'oiki vakadiania. Irojia ni-binofiki ida vahoariha vakadivarani avigavini. Hari, va'ora nana'dohi'aha:<CM>—Hana hina masiko nokiabiininira ada boviri ja'di?<CL>"
40,2,8,"Kidina'dohi vagathanivini naothinia Iroji va'ora karona'aha Belém sidajia avikha'ina. Va'ora honaria'aha:<CM>—Avikha'a Belém sidajia mahija isaia bivahojaki ibavini-ra avanana'dohivini. Avakaragaha, vajoi bana hida mahija hora avanava'isohivini. Onofiki jaboni ida isai-ra onavanavanahavini okanamasivira kaimoni — va'ora ni'aha.<CM>"
40,2,9," Oniaroa, Iroji kania ai vihi'aha adani makhira. Hagihia avikharimananina vanoki'ianaha ada boviri ja'di vaviaha okhananavaki. Khai vani'aha ada boviri okhananavaki vanokivini, vava'i jaha'oamanira adani. Jesua bivahojaki namania akhano'aha ada boviri. (-)"
40,2,11,"Oniaroa, Jesua bivahojaki gora avakhanoha, avikhajakosi'aha, va'ora vanoki'aha adani isai, kidiamia vihiki. Jesus viaha vakajo'atharari'aha vakanamasivi'aha.<CM>Oniania, vadaina-ra avarabikhai'aha, vidioni'ihi ida va'iga Jesus kaimoni. Vano'a'aha ouro, incenso, miha hikia. Kaidivaki ida ouro oniki. Misai mitxaki kaidivaki fori hiki ida incenso, miha hiki.<CM>"
40,2,12,"Joma vania Deus va'ora kaabani'aha adani makhira vadamia:<CM>—Hari'a bana avajoi Iroji kania!Oniaroa, hagihi hoariha vania vajoi'aha, vakadiarabo-ra avanajoiha'avini.<CM>"
40,2,13,"<TS1>Egito kaarabonia avikhaki adani José aviga'ina<Ts>Hari. Makhira ai vihina naothinia, Deus ibavi kaija'arini abono-ra nanokiaha José kania vadamia. José-ra ni'aha:<CM>—Irojia bana binofiki binaabinivini ada isai. Gaamanani'a, Egito kaarabonia va'ora avikha'a adani isai, kidiamia vihiki mahija avaraihotavini. Ira onava'isohiravini oadani hari'a vajoi hihida araboa.<CM>"
40,2,14,"Oniaroa, gaamanani'aha ada José. Joma vania ai vihi'aha, José va'ora avikha'aha Egito kaarabonia."
40,2,15,"Iroji abinirina oadani Egito kaarabonia vahoja'aha. 'Bo'dakari Deua binava'isohijora'iki ida athi namoniva abono:<CI><PI>“Egito kaarabonia hojaki bana ada kodisai.<CI><PI2>Obaranahaki bana ada kodisai joira kaimoni.”<CI><PI0>Niha ada Deus.<CM>Hari. Jesus hoja'iki Egito kaarabonia, naothinia José va'ora avajoi'aha vakadiaraboa. Nimania ida namitha'iki Deus athi namoniva abono binava'isohijoravini hi'iki.<CM> <TS1>Iroji va'ora naabiniki adani isai vaipohiki<Ts>Oniaroa, Iroji va'ora nokhaha adani makhira boviri-ra vanoki'iki vajoina kidiania. Abono-ra ni'aha:<CM>—Hora vakorijanaha'iki adani makhira. Jokoa vajoijanariha adani kodiania.<CM>Hari, ihamahikaraho'aha ada Iroji. Oniaroa, bikava'ihoki'ihi ida makhira vakadivarani, badara hoarani boviri ja'di-ra vanokibiinini'avini. Va'ora honariaha adani kidisorara isai makhira isani-ra vanaabinihavini. Va'ora ni'aha:<CM>—Belém sidajia avikha'a mahija makhira isani-ra va'ora avanako'dihavini sidaji bodinia, sidaji hararania jaboni. Makhira isani badara 'bamikia vakabadarariki, vakabadaraki kaho-ra jaboni avakaraga'ihi, va'ora vanaabini bana.<CM>Va'ajihi'aha adani sorara, vanaaba'ihi ida Iroji athi. Nimania ida namitha'iki Deus athi namoniva abono Jeremias onikia bini'a'bo'da'iki:<CI> <PI>“Kamithavahaki ida saani karaho Belém sidajia<CI>vakadisai hahavi vaabinina-ra vakaasara'ahapiki'iki adani gamo.<CI>Raquel kohana kidisai-ra va'ora kaasara'avini vani fori vihiki adani gamo<CI><PI2>vabarariariana.<CI><PI>Raquea bikaabokariki ida kidisai-ra va'ora<CI><PI2>navijavavini, oniani ida va'ini najaharini hija.”<CM> <TS1>Egito kaarabonia ai vihi'iki adani José<Ts>Oniaroa, abini'aha ada Iroji. Iroji abinina naothinia Deus ibavi kaija'arini abono-ra nanokia'ianaha José kania vadamia. Asia Egito kaarabonia vahojaha adani José. Deus ibavi kaija'arinia bini'aha:<CM>—Vaabinihahavi'iki adani isai-ra vanaabinivini-ra vanofiki. José, gaamanani'a va'ora avajoi'a adani isai, kidiamia vihiki Israel kaarabonia.<CM>"
40,2,21,"Hari. Oniaroa, ai vihi'aha adani José, va'ora avikhaha adani isai, kidiamia khama. Israel kaarabonia avajoi'aha. Judeus kaija'ari vaonina hoariha Israel kaija'ari."
40,2,22,"Hari, Joséa bikamitha'ihi ida ija'ari vakadivarani:<CM>—Abini'iki ada arabo kaka'da'dini Iroji. Judéia kaarabonia hojaki ada Iroji kohana kaisai Arquelau oniki, ovari maina ada Judéia kaaraboni kaija'arini vakadika'da'di hira — vakhani'aha. Oniani ida José vajoina-ra finivini hija. Vadamia Deua binava'isohi'ianaha ada José:<CM>—José, hari'a Judéia kaarabonia avajoi! Galiléia kaaraboni maina avikha — Deua bini'aha ada José vadamia.<CM>Oniaroa, avikha'aha Galiléia kaarabonia. Avakhano'aha."
40,2,23,Nazaré sidaji oniki vania vahoja'aha. Nimania ida namitha'iki Deus athi namoniva abono kohana va'ora nava'isohijoravini hi'iki:<CI><PI>“Nazaré sidaji kaija'arinia vanaoniki bana ada ovari okaronaki.”<CI><PI0>Niha ada Deus.<CM>
40,3,1,"<TS1>João Batista kavaranihi hida<Ts><TS3><i>(Marcos 1.1-8; Lucas 3.1-20; João 1.19-28)</i><Ts>Hari. Nazaré sidajia hojana kaba'i ada Jesus, Judéia kaarabonia khaha ada makhira Deua bikaronaki, onina João Batista. Amasia hojaki ada. Kagorarihi ida amasi. João Batista kania avikhaha adani ija'ari, va'ora ni'abakhia'aha:<CM>"
40,3,2,"—Avakadihojai asohiriki-ra vakava'ipahinika'oa'a bana. Maakariki ida mahi Deus ija'ari hahavi-ra vaka'da'divini — niha ada João Batista. 'Bo'dakari Deus athi namoniva abono, Isaías kohana onikia vara bivani'ajora'iki ada João Batista. Isaías kohana athi jiriki hojaki Deus athi kapapirani pitania, niha:<CI><PI>“Amasia hojaki ada makhira,<CI><PI2>ija'ari-ra vara ni'a'aha athi 'barakia:<CI>‘Amaakariki ida avakadika'da'di kaikahina kamahini.<CI>Vanasohi bana ida avakadimahi, avakadika'da'di khana-ra vanaviahanokha bana!’ ”<CI><PI0>Nihi ida Deus athi.<CM>"
40,3,4,"João Batista ni-bikaimahaki ida makari kaidivaki, kidimakari hiki ida camelo asafi amonahaki. Bikaimahaki jaboni jararia baasafi kacinturãohi. Kidi'bai hiki omavari, bahina a'bana hiki. Elias kohana kamakari, kidi'bai, kidihojai fori hiki ida João Batista kahojai.<CM>"
40,3,5,Jerusalém sidaji kaija'arini vaipohiki João Batista kani-ra avanikhabakhiaki. Judéia kaaraboni kaija'arini jaboni vaipohiki João Batista kani-ra avanikhabakhiaki. Jordão vainia hojaki ida ibavi ipohiki kaija'arini João Batista kani-ra avanikhabakhiaki. Vaipohi'oamanira adani ija'ari João Batista kavarani-ra vakamithavini-ra vanofiki.
40,3,6,"Vakava'ipahinivini vanofivini ida vakadihojai asohiriki afohahavi, oniania Deus kania vara vavani'avini Deus bina'biraja kaimoni. Vara vavani'avini naothinia, João Batista va'ora kana'aha afohanana Jordão vaini onikia.<CM>"
40,3,7,"Hari. João Batista kania avikhaki adani farisio vaipohiki, sadosio vihiki. Farisio vaoniki vanaabajahakiki ida vakadija'ari avikhananavaki vakadihojai. Vanofiki jaboni João Batista va'ora kanavini. João Batista va'ora ni'aha:<CM>—Jahari kabadani-ra avakava'ipahinivini-ra avakahi'badaraki a'oni. Deua bikaronaki bana ida avakadihojai asohiriki abosini. Ni-avakaabokaki ida Deu-ra avakorijanahavini."
40,3,8,Hojai asohikia vakahojai'a bana mahija Deus biogavini ida avakadihojai asohiriki-ra avanofijanaravini.
40,3,9,"Hari'a vakava'ibodivarani:<CI><PI>“Deus va'ora nagathogatho'bo'da'iki adani Abraão,<CI><PI2>kidihanodi vanamitharonisiagaki vihiki,<CI>kidija'ari vihira kaimoni.<CI><PI>Jahaki ada akadiabi'i okhananavaki Abraão kohana,<CI><PI2>oniani ida akadihojai asohiriki Deua bikava'ibodiravini hija,<CI>haria akava'ijoaki bana ada Deus.”<CM>Nimania ida avaabononi avani'a'badaravini.<CM>Asohiki ida Abraão kahojai. Avakadihojai ni-asohiki. Abraão kaisai vavijavaronisiagaki avihini kaba'i, ni-Deus a'onira akava'ijoaki. Deus va'ora akava'ijoaki adani vakadihojai asohiriki-ra vakava'ipahini'iki."
40,3,10,Ihi'ai avani fori avihiki a'oni. Hojai asohikia avakahojairihi; ihi'ai avani bonobakhiariki fori avihihi. Makhira kajoriki fori hiki ada Deus. Khaki bana ada makhira binobaja kaimoni ida ihi'ai avani bonobakhiariki 'damani. Binahokahiki ida ihi'ai avani obaki siho kabodinia. Nini vani jaboni Deus va'ora arakhaki bana adani athi naabani vihiriki nahina jaharikia — va'ora ni'aha ada João Batista.<CM>
40,3,11,"Asia João Batista va'ora vara ni'aha adani ija'ari vajoroniki:<CM>—A'onira okanaki ho paha bodinia. Avakadihojai asohirikia avaabononi avaka'da'digariavini-ra avigara kaimoni adani vahoariha. Khaki bana ada hoariha, ka'da'di ka'oa ada ovari. Hovani kidihonai abono ho. Arafiaki ida kidihojai asohika'oani. Kodihojai jahani fori hirihi ida kidihojai jahani arafiaki, kaba'i hora nagathogathovini oakodiara kaimoni. Ovaria bikaronaki ada Ma'onahai Jahaki ija'ari va'ini-ra nahonariahihiki kaimoni. Siho kakhororoki fori hiki bana ada Ma'onahai Jahaki ija'ari kania. Binihimaki bana ida ija'ari kahojai asohiriki — va'ora ni'aha ada João Batista.<CM>"
40,3,12,"Vara ni'ianaha ada João Batista. Ija'ari-ra kavarajomivini ida trigo 'ba'dani aka'diririhaki:<CM>—Aka'diririhaki ida trigo 'ba'dani aaniaja kaimoni ida ba'ba'da asafini. Anabavihi ida trigo 'ba'dani so'oroa. Siho kabodinia anahokahi'ihi ida asafini. Nimania jaboni ida onaothia khaki ija'ari-ra kanahoarihakhamavini. Va'ora aniki adani ija'ari hojai asohirikia vakahojaiki, ija'ari hojai asohikia vakahojaiki vahararana. Ovari va'ora vahojaki adani ija'ari hojai asohikia vakahojaiki kidiania. Va'ora nahokahiki adani hojai asohirikia vakahojaiki Ibavi Jaharika'oaki siho kaihimiriki kania — va'ora ni'aha ada João Batista.<CM>"
40,3,13,"<TS1>João Batista bikanaki<Ts><TS2>ada Jesus<Ts><TS3><i>(Marcos 1.9-11; Lucas 3.21-22)</i><Ts>Oniaro kari, Galiléia kaarabonia hojaha ada Jesus. Hari. Oniaroa, ajihi'aha, okha'aha, Jordão vaini onikia akhanofoni'aha, João Batista-ra ni'aha:<CM>—Hora kana'a bana!<CL>"
40,3,14,"Hari. João Batista bini'aha ada Jesus:<CM>—Iniani, ni-Jahari kabadania ikabadanirihi ikava'ipahinija kaimoni.<CL>"
40,3,15,"Jesua bini'aha:<CM>—Kaba'i, jahaki ida hora ikanavini. Hora ikanahi; Deua binofikia akabadanihahavihi — niha ada Jesus.Oniaroa, João Batista bikana'aha.<CM>"
40,3,16,"Jesus kanana naothinia ogaimori'aha. Binoki'ihi ida nama arabikhajahaki. Binokiha jaboni ada Ma'onahai Jahaki gaari'ina kidiania, ho'doko aagariki fori hiki."
40,3,17,Nama kamithavahaki ida athii:<CM>—Hi'o kodisai o. Onofijahakiki o. Khai oni'aki ida kodisai hojana.<CM>
40,4,1,"<TS1>Jaharia bikaboroboroki<Ts><TS2>ada Jesus<Ts><TS3><i>(Marcos 1.12-13; Lucas 4.1-13)</i><Ts><sup>(1-3)</sup> Hari. Oniaroa, Ma'onahai Jahakia biavikha'aha ada Jesus amasia, 40 mahi hoja'aha. Kaija'aririhi ida amasi. Ni-nahina-ra haki. 'Bairina mani ida Jesu-ra navai'ami'ia. Oniaroa, okha'aha ada Jahari Jesus kania. Bikaboroboro'aha ada Jesus bada bini'aja kaimoni ida badani Deua binofiriki. Jesua ni-bikapoaripa'itxiki ida athi. Jaharia bini'aha:"
40,4,3,(-)<CM>
40,4,4,"Jesua bini'aha:<CM>—Iniani, ni-Deus hora honariaki ja'di-ra 'bai oanihavini. Deus athi kapapirania hojaki hida athi:<CI><PI>“Ni-'bai ka'oa binahokiki<CI><PI2>ida ija'ari.<CI><PI>Deus athi hahavi-ra anaabavini mani ida ija'ari-ra nahokija.”<CI><PI0>— Jesua bini'aha ada Jahari.<CM>"
40,4,5,"Oniaroa, Jerusalém sidajia Jaharia biavikha'aha, ija'ari Deu-ra khai vani'avini kagorani 'da'dini a'ani sohiriama'oki kania, bini'aha:<CM>"
40,4,6,"—Deus kaisai ihihi, araofarari'a bana nabo'ajaja. Deus athi kapapirania bini'aki:<CI><PI>“Deus va'ora honariaki bana adani ibavi kaija'arini kadania ira avagathanivini,<CI><PI2>ivigarirariria kaimoni ida ja'di,<CI>iabononi a'bororia kaimoni jaboni.”<CL>"
40,4,7,"Jesua bigathanihi ida athi:<CM>—Iniani. Jokoa iathini-ra onaabarihi. Jokoa oaraofararirihi. Deus athi haria nava'isohiki hari jaboni:<CI><PI>“Hari'a Deu-ra kaijo'a bana badani danokia kabadanina,<CI><PI2>iogaja kaimoni ida Deus hojana kadania.”<CM>"
40,4,8,"Oniaroa, arabo namahikia Jaharia biavikhaha ada Jesus. Binanokiahivini vihiha adani arabo hahavi kaija'arini, vakadiarabo, vakadinahina hiki. Jaha'oamanija ida hahavi Jesu-ra nanokiahivini hi'iki. Bini'aha ada Jesus:<CM> —Oviaha ikajo'athararihi hora ikanamasivivini, oniani ida hahavi ira onanokiahivini hi'ikia ira ono'avini hija bana — niha ada Jahari, Jesu-ra kaboroborovini, bada bini'aja kaimoni ida Deua binofiriki.<CL>"
40,4,10,"Oniaroa, Jesua bini'aha:<CM>—Jahari, ajihi'a. Jokoa ira okanamasivirihi. Deus athi kapapirania hojaki ida athi haria nava'isohiki kaimoni:<CI><PI>“Deus ka'oa-ra kanamasivi'a bana avakadika'da'di hira kaimoni.<CI>Deus athi ka'oa-ra vanaaba'a.”<CI><PI0>— Jesua bini'aha ada Jahari.<CM>"
40,4,11,"Oniaroa, ajihi'aha ada Jahari. Jesus kania vikha'aha adani Deus ibavi kaija'arini Jesu-ra vaakodiahavini. Naothinia, ajihi'aha ada Jesus amasia.<CM>"
40,4,12,"<TS1>Jesus kabadani kama'dani Galiléia kaarabonia<Ts><TS3><i>(Marcos 1.14-15; Lucas 4.14-15)</i><Ts>Hari. Arabo kaka'da'dinia bivahonariahi'aha ada João Batista gathana cadeia avibaira kaimoni. Jesua bikamitha'ihi ida João monina cadeia hojana, oniani ida Galiléia kaarabonia arakhana hi'ihi."
40,4,13,"Ni-Nazaré sidajia ibavijanaki ada Jesus. Cafarnaum kasidajini vania okha'aha, hoja'aha. Galiléia ka'dakoni maakarinia hojaki ida Cafarnaum sidaji. Zebulom Naftali kaarabonia hojaki ida 'dako."
40,4,14," Mahi 'bo'dakari Deus athi namoniva abono Isaías onikia bini'a'iki: (-)<CI> <PI>Bakibakiki fori hiki ida vakadiarabo vavaibaviki.<CI>Hari. Vanokiki bana ida vagani fori hiki karaho.<CI>Vagahahaviki bana ida vaibavi.<CI>Va'ora navagaki bana adani ija'ari vaabiniki fori vihiki.<CI>Ni-Deu-ra avigariha adani.”<CI><PI0>Nimania ida Deus athi kapapirani Isaías kohana binajiri'iki. Isaías kohana vara bivani'a'bo'da'iki hihida vaibavia Jesus aadahaonina, oniani ida kidivarani nanamithani hi'ia.<CM>"
40,4,17,Hari. Cafarnaum sidajia Jesus hojana vara bivani'a'ihi ida moni jahaki. Va'ora ni'aha adani ija'ari:<CM>—Avakadihojai asohiriki-ra vakava'ipahinika'oa bana. Maakari'iki ida mahi Deus ija'ari hahavi-ra vaka'da'divini — va'ora ni'aha ada Jesus.<CM>
40,4,18,"<TS1>Jesus va'ora kaboa'iha adani araba abono<Ts><TS3><i>(Marcos 1.16-20; Lucas 5.1-11)</i><Ts>Oniaroa, Galiléia 'dako vadinia khabaoniha ada Jesus. Va'ora kanokiha adani araba abono vi'bamiki vakatahafahaki. Aajojahiki Simão Pedro, kajo'ojahiki André."
40,4,19,Va'ora kani'aha ada Jesus:<CM>—Hora vavaipohiha mahija badani hoariha a'onira oka'ojomo'ivini. A'onira oka'ojomo'ivini hiki ija'ari vahoariha-ra avakaboa'ivini kodija'ari vihira kaimoni — va'ora ni'aha ada Jesus.<CM>
40,4,20,"Oniaroa, vakahagi kabodinia vakanahojaha'ihi ida vakaditahafa, Jesu-ra vavaipohiha'aha.<CM>"
40,4,21,"Avikha'ianaha adani Jesus, va'ora vakanokiha adani araba abono vakahoariha vi'bamiki vakadiabi'i khama. Aajojahiki Tiago, kajo'ojahiki João. Vakadiabi'i Zebedeu oniki. Vakahagi kabodinia vahojaki adani. Bada vakhaniki adani tahafa-ra avakanaja'divini. Jesus va'ora baranahaha adani vi'bamiki:<CM>—Hora vavaipohiha!<CM>"
40,4,22,Jorakia vakahagi-ra vakanahojaha'aha. Vakaamina'aha ada vakadiabi'i. Jesu-ra vavaipohiha'aha. Avikha'aha.<CM>
40,4,23,"<TS1>Jesus va'ora anaihotaki adani ija'ari vaipohiki<Ts><TS3><i>(Lucas 6.17-19)</i><Ts>Hari. Galiléia kaaraboni kaibavinia aadahaoni'aha ada Jesus. Judeus kaija'ari Deu-ra vara vani'avini kagorani vaipohikia okhajakosioni'aha. Va'ora aka'ojomo'ioniha adani ija'ari. Jesus va'ora akanamonionivini hida Deus athi, ija'ari hahavi vakadika'da'di ada Deus. Va'ora anaihotaki jaboni adani ija'ari vakavamoniki. Ipohiki ida vakadikavamoni.<CM>"
40,4,24,"Síria kaaraboni kaija'arini vaipohikia jaboni avananamithaoni'ihi ida Jesus ija'ari-ra anaihotavini kavaranihi. Oniania va'ora vavikha'aha adani ija'ari vakavamoniki, vakabajadiki, varai'abakhiaki, vajo'o aba'oronisiagaki vihiki. Kavamoni ipohiki-ra vavahojaki adani ija'ari, va'ora vavikha'aha Jesus viaha. Jesus va'ora anaihotahahavimani'aha.<CM>"
40,4,25,"Ija'ari vaipohiki Jesu-ra vavaipohiha'aha. Galiléia kaaraboni kaija'arini, Judéia kaaraboni kaija'arini, Decápolis kaaraboni kaija'arini, Jerusalém sidaji kaija'arini vihiki Jordão vaini banininiaja vahojaki Jesu-ra vavaipohiha'iki jaboni.<CM>"
