Book,Chapter,Verse,Scripture
40,2,13,<TS1>Esito bo niwakiknaha.<Ts>Kyze Sose zuruze. Hinipỹ niyze zitsotospykyk bijoikpe iknykta Deus tsumuẽhĩtsa ipe niy:<CM>— Kyiktykta! Makuskyry ije tuk tysioktyhyk! Esito bo nokponi tuwaknaha. Anaeze tynapykyknaha. Erodes makuskyry myziberiki pibeze tsihikik iwatsahi ipokso Esito bo tuwaknaha! — niy.<CM>
40,2,14,Iwaze aidy kyik niy. Unata niukurunaha. Sose makuskyry ije ahatsa nisioktyhyryk Esito bo niwakiknaha.
40,2,15,Anaeze nitarenaha. Erodes nihyrikosokdaze zuba ziksizonaha. Tubabatu Deus sohokotsa ziwataha tihi:<CI><PI>— Katse Esito ikny myziksizo — niy.<CI><PI0>Iwa Deus sohokotsa niy tubabatu ziwataha abazuba atsatu niy. Esito eze hudikspyk nikaranaha.<CM>
40,2,16,"<TS1>Makuskyrytsa nisibabaiknaha.<Ts>Kyze Erodes takyrikize. Sisukmotsa ibo zukbyitahi tsiokaniarẽta nikara:<CM>— O Sisukmotsa zikspihikbatakanaha. Kabo mybarapetu niaha — niy. Sihumo takyriki. Iwaze Erodes:<CM>— Aba makuskyry wahoro batu kahyrinymyry iwatahi makuskyrytsa sizubarẽtsa mysiba — mytsaty niy. Iwaze sodadutsa pe:<CM>— Berẽhe bo pãotaha: Nabo makuskyrytsa tysibanaha! Makuskyrytsa petok ziytyk tsehenahatsa, tysibabaiknaha! — niy. Hyỹ niaha. Petok ziytyk tseheze niy sisukmotsa harere humo. Nitsasonahaze nawa zuruze byrisoik izoize ana humo makuskyrytsa petok ziytyk tsehenahatsa nisiba tsihikik. Iwa hỹ."
40,2,17,Iwaze hawa ha ty Deus sohokotsa Seremias tubabatu ziwataha atsa tu niy. Atahi:<CI>
40,2,18,"<PI>— Hama Berẽhe hudikhudikwy baze tu iaksoho ty ziwaby.<CI><PI2>Wytykyryk nipuziukunaha sisukatsihikrẽza niapykyryknaha.<CI><PI>Tapara kykyryk nipuziukunaha.<CI><PI2>Hakeu hyrytsa pokzi nipuziukunaha “Hana bo kahyrytsa.<CI><PI>Kahyrytsa hana bo ja” nikaranaha.<CI><PI2>Tahahyrytsa pokzi sijeza ziknapuziukunaha — niy.<CI><PI0>Iwa Deus sohokotsa tubabatu ziwataha, atsatu niy.<CM>"
40,2,19,<TS1>Isareu bo ziksizonaha.<Ts>Kyze Erodes niraze bijoikpe iknykta Deus tsumuẽhĩtsa Sose pe niy.<CM>
40,2,20,Atakta zitsotospykykze bijoikpe iknykta tihi ipe:<CM>— Kyikty! Isareu bo tsiksizo. Makuskyry ije tuk tysioktyhyk. Makuskyry zibezekyzykynahatsa botu niakbabanaha iwaze Isareu bo tsiksizo — niy.<CM>
40,2,21,Yhỹ niy. Sose Maria makuskyry ahatsa pe:<CM>— Tupaktsa! Isareu bo tsipiksizonaha — niy. Iwa Isareu bo ziksizonaha.
40,2,22,"Anabo zumunahaze Erodes tse, Arekeraus inarokota tazo inazapyzeky niy. Abaka atakta Sudeja ezektsa pehakatsa niy. Ana humo hi Sose zinymyryze ipokso tsipybyrẽta niyzik. Iwaze hinipỹ niyze zitsotospykzoze Deus ipe:<CM>— Sudeja bo ka pão pãobyity, Karireja bo tsiksikta! — bijoikpe iknykta niy.<CM>"
40,2,23,Iwaze Karireja bo zumunaha. Nasare hudikhudikwy bo niaha. Anaeze niapykyryknaha. Deus sohokotsa tubabatu ziwatahanaha. — Atakta Nasare ezekta my — niaha. Tubabatu ziwatahanaha abazuba atsatu niy. Iwa Sesus Nasare eze niapykyryk<CM>
40,3,1,<TS1>Suão Batista sohowy.<Ts>Tubabatu Suão Batista zumu jerukbara bo niy. Sudeja jerukbara eze Deus harere myzubaha bo nitsasokoro.
40,3,2,Ata tihi:<CM>— O kytsa ahamysapybyi tsimoewybaiknahaktsa! Deus zipehata humo tsipikymynahaktsa! Abaka kytsa Deus tyryktsa moziknaha hana wa puruze mozumu — nikara.<CM>
40,3,3,"Ata soho Deus sohokotsa tubabatu ziwataha, Isaijas inarokota isoho tihi:<CI><PI>— “Aty ja jerukbara eze huahua my.<CI><PI2>‘Pykyhytuty Deus zipehata ske bo tsimy.<CI><PI>Iske buruhuwa tsiskezozekta!’ ” niy.<CI><PI2>Hawa kytsa piskezokonaha iwa Suão kytsa Deus zipehata humo pikymynaha,<CI><PI>Suão tihi kytsa simysapybyitsa tysimoewynaha iwa pikymynaha Deus zipehata humo.<CI><PI0>— Iwa Isaijas niy tubabatu ziwataha abazuba atsatu Suão Batista nikara.<CM>"
40,3,4,Atakta Suão kamero hwyk isuk niy. Irikpidiwy siraratsa hwyk niy. Masetsa zuba ziknasiboroko. Pete zuba zikzerukuk. Iwa.
40,3,5,"Kyze Serusarẽhe ezektsa, Sudeja ezektsa, kytsa buburu Sorodão bazektsa iwa sizubarẽtsa ibo niukurunaha."
40,3,6,"Nisiharasusukuze asaktsa:<CM>— Taparaka mysapybyitsa tsikykaranaha. Abaka batu. Mekywa tu tsimoziknaha, mysapybara tahamoewybaiknaha — niaha. Iwa nisiharasusuze niaha.<CM>"
40,3,7,Kyze Pariseutsa asaktsa Moises harere humo sihyrinymyrẽtsa. Sadusitsa kino niwatihi Suão bo zumunaha. Suão sibo iktsa niyze atahi:<CM>— Ikiahatsa pyryhyk myrawy watsa. Katsaktsa pyryhyktsa batu mykparawy Deus niwatihi ahamysapybyritsa humo batu iakparawy.
40,3,8,Ahape tu ahasopyk “O Suão mymyharasusu zeka ana humo hi Deus bazik takyri” tsimaha. Ahamysapybyitsa ty tsipimoewynaha zeka ana hi tsipiwatawykynahaktsa! Niwazuba Deus ba ziktakyri ahamysapyrẽtsa tsimoziknaha ana hi Deus tsihyrinymyrẽta — niy.
40,3,9,Batu ahape tu ahasopyk:<CM>— O Abarão taparakta mydiri iwatahi Deus myhumo bazik takyri — tsimaha. — Anaharere Deus tuk batu imysapy my. Batu ahahyrinymyry Deus haraharetsa tuk Abarão tsekokatsa mysisukniki ana hi ihumo batu ihokdaha.<CM>
40,3,10,"Ikiahatsa hwi watsa. Deus maku wywyk tuk wata. Aba wywyk pizowy, hwitsa mysikakare. Iharatatsa buruk tu mysikakarehikare. Hwi iharatatsa sapybyita tu piweke. Izo bo pioktsokik. Iwa Deus ahabo my, ahamysapybyitsa tu tsimykaranaha isty moewy ahabyi zeka — niy."
40,3,11,"Kyze kytsa sizubarẽtsa pe:<CM>— Utakta paharasusu. Ahamysapybyitsa ty tsipimoewynahaze pihik ty paharasusu. Usta mozumu. Atahi tsimysapyrẽta. Tsimyhyrizikwyrẽta. Tsizikwyrẽta iwatahi ibo zuba tsimykaranaha. Atahi tsimysapyrẽta. Utakta batu. Iwatahi kasikpybyrẽta. Ipyrysuk pibokik zeka kasikpybyrẽta pitsumuẽhĩ naha humo kasikpybyrẽta. Atahi mysiharasusu, Deus hyrikoso ihumo ahabo mynasik. Deus hyrikoso izo waha, izo ykpyri nikorobaik. Deus hyrikoso mynasikze ahamysapybyitsa ty tsikykaranaha ihumo mysiokzohiknaha ahamysapyrẽtsa tsimoziknaha ahabo mynasikze ahatuk mynapykyryk.<CM>"
40,3,12,"Atakta Kiristu mozumuze dua ty wabe mykara tawata my. Ahostsa mysizyzyky. Kytsa simysapyrẽtsa ahostsa watsa tu maha. Ahostsa zuba mysizyzykynaha. Atuja bo mysidodokonaha sipesuktsa mysipaparakanaha, izo bo mysiwezokonaha. Iwaze kytsa batu simysapy ahostsa pesuktsa watsa maha. Izo bazikbe, nabo mysioktsoknaha. Iwa Kiristu kytsa metutu mysisapy simysapyrẽtsa Deus tuk mynapykyryk, simysapybyitsaktsa, izo bo mysioktsotsokiknaha — Suão niy.<CM>"
40,3,13,<TS1>Suão Batista Sesus ziharasusu.<Ts>Iwaze Sesus izumu. Karireja ikny niparak Sorodão buburu bo niy. Nabo Suão bo taharasusu tsihikik. Iwatahi:<CM>— O Suão tsikarasusu — niy.<CM>
40,3,14,— O batu. Ikia abazubata batu amyi iwatahi tsipikarasu zeka wasani my. Ikia tsamysapyrẽta tu amo sa kabo tsikzumu — niy.<CM>
40,3,15,"Sesus ipe niyzo:<CM>— Aba tsipikarasu zeka wasani my. Katsaktsa Deus nawahi mozihikik tsimaha ana hi tisapyrẽna, iwatahi tsikarasusu — niy.<CM>Yhỹ niy.<CM>"
40,3,16,<sup>(16-17)</sup> Iwaze Suão Sesus ziharasusu. Pihik ikny inazoze atsoko bijoikpe sakpare niy. Deus hyrikoso ibo inasik. Amytudu wata ibo inasik inatsatsaka isukara bete inazo. Iaksoho bijoikpe ikny ziwaby:<CM>— Ikia hi katse babata. Ikia humo kamypokzitsiarẽta. Ikia humo ka kakurẽta hỹ — Iwa Deus Sesus pe niy.
40,3,17,(-)<CM>
40,4,1,<TS1>Satanas Sesus isapybara humo ziakzobyriki.<Ts>Iwaze Deus hyrikoso Sesus jerukbara bo zioktyhyryk. Iwaze hyrikoso sapybara pehakatsa myzokwy Diabo inarokota ibo izumu. Sesus bo zumuze atahi Sesus Deus harere bo ka yhỹ byitykta nizihikik.<CM>
40,4,2,"Sesus jerukbara eze niapykyryk, estuba byzoje zirahaze nawa kuarẽta zuruze niapykyryk. Anaeze hauk ahabyitatu zikzuruku iwatahi tsiaraparẽta nikara."
40,4,3,Iwaze Diabo ibo zumu Sesus tsiaraparẽta nikara ipe niy:<CM>— Ikia Deus tse babata zeka haraharetsa pe “Atsikara tuziktykta tsimy” — niy.<CM>
40,4,4,Batu Sesus niy.<CM>Tubabatu taparaktsa Deus harere papeu humo ziwatahakanaha:<CI><PI>— Mybarawy ezektsa disahawy humo zuba ba zikzurukunaha sidisahawy ty hauk mahaze sispitu zuba mykaranaha.<CI><PI2>Mybarawy ezektsa Deus harere bo hyỹ maha zeka sakurẽtsa moziknaha. Sakurẽtsa hỹ — niaha.<CI><PI0>Iwa taparaktsa ziwatahakanaha.<CM>
40,4,5,Kyze Diabo Serusarẽhe bo Sesus zioktyhyryk. Anaeze Deus wahoro zubata hara bete ziriktohohikare. Jobonikia bo zioktyhyryk niy.
40,4,6,Niytahi ipe niy:<CM>— Ikia Deus tse babata zeka tykbo tukutyny. Tykbo tynapurukta! Taparaktsa Deus harere ziwatahakanaha:<CI><PI>“Bijoikpe iknyktsa Deus tsumuẽhĩtsitsa ikia bo nasiakzo.<CI><PI2>Paperykynaha. Ikia humo simypokzitsiukrẽtsa.<CI><PI>Haraharetsa bete tsimynaraha zeka tahatsyhyrypetsa ty paik paik maha.<CI><PI2>Iwatahi ba zik kahyrikywy” niaha — niy.<CM>
40,4,7,— Batu ba — Sesus niy.<CM>— Tubabatu taparaktsa Deus harere ziwatahakanahazo:<CI><PI>“Deus ta ba ziakzobyrinaha Deus batu imyiwyky.<CI><PI2>Hawa ha tsimyzihikik Deus ty batu typeha” niaha.<CI><PI0>Iwa taparaktsa ziwatahakanaha — niy.<CM>
40,4,8,Kyze Diabo Sesus hara joboni tabo zioktyhyrykzo ipe niy:<CM>— Nanabyi bo iktsa tykta — niy. Atsoko mybarawy tsizubarẽna bo iktsa niy. Sityryktsa kino niwatihi natakaha. Iwaze Diabo tihi:<CM>— Uta anaty hi abo nynybaik my. Ikia hi sipehatsa tsimozik. Sityryktsa ikia pe abazubata maha.
40,4,9,Estuba zuba kaokeryk puruk puruk tsimy zeka kabo tsimytsaso zeka: “ikia tsamysapyrẽta aharere bo hyỹ my” tsimy. Ana tyhi tsimy zeka sityryktsa ty ikia bo nynybaik my — Diabo niy.<CM>
40,4,10,"— Batu ba. Nabo pãoty Satanas! — Sesus niy. — Tubabatu taparaktsa Deus harere papeu humo ziwatahakanaha hi:<CI><PI>“Deus bo zuba tynapamykysokonaha ‘Ikia tsamysapyrẽta’<CI><PI2>atabo hi ‘Ikia zuba tsimysapyrẽnikita’ tsimy,<CI><PI>iharere bo zuba hyỹ tynakaranaha.” Deus watahaha, iwa taparaktsa ziwatahakanaha — niy.<CM>"
40,4,11,Iwaze Diabo Sesus zerekekspyk. Iwaze bijoikpe iknyktsa Deus tsumuẽhĩtsitsa Sesus humo simypokzitsiarẽtsa nikaranaha iwatsahi ipokzitsiwy tuk inasiknaha. Nawa de.<CM>
40,4,12,<TS1>Sesus tahyriziktsokzawy humo ziakbata Karireja eze tu niy.<Ts>Kyze kytsa tihi:<CM>— O kytsa Suão Batista sakyriukrẽnikitsa hurukwy bo zioktyhyryknaha — niaha.<CM>Ana hi Sesus ziwabyze Karireja bo niukuru. Nasare bo ziksizo anaeze taypykyryk.
40,4,13,"Anabo zumuze Nasare eze batu are aha, Kaparanaũ bo niy. Kaparanaũ Karireja pihikzotsabyri sak eze niapykyryk. Anaeze Napatari Seburõ niwatihi parakbaha niaha."
40,4,14,Iwa niy. Iwatahi hawa haty Deus sohokotsa Isaijas tubabatu ziwataha atsatu niy. Isaijas tihi:<CI>
40,4,15,"<PI><sup>(15-16)</sup> — O Seburõ ezektsa, Napatari ezektsa myzubaha pihikzotsabyri ezektsa Karireja ezektsa,<CI><PI2>buburu Sorodão sak ezektsa asaktsa Sudeutsabyitsa iwa sizubarẽtsa tapara simysapybyitsa humo batu siaku.<CI><PI>Kytsa watsa miwa eze pyik pyik nikaranaha asahi niwatihi sihyrinymyrybyitsa tu abaka Deus sibo zumu.<CI><PI2>Atahi situk mynapykyryk iwatsahi sakurẽtsa mykaranaha.<CI><PI>Kytsa okoro hyritywaha moziknaha sihyrinymyrẽtsa — niy.<CI><PI0>Iwa Isaijas tubabatu ziwataha. Sesus Karireja boze anaharere atsatu niy."
40,4,16,(-)<CM>
40,4,17,Sesus Karireja zumuze kytsa nisihyrinymyryky. Tahi:<CM>— O kytsa ahamysapybara ty tsimoewynaha! Abaka Deus zipehata mozumu iwatsahi ityryktsa tsimoziknaha nawa zuruze botu izumu — niy.<CM>
40,4,18,"<TS1>Sesus tuk zinymyrykynahatsa nisihuahua.<Ts>Kyze Sesus Karireja pihikzotsabyri sak taba zitabaka. Anaburuk ziknaukuruze Peduru, Ãdere ahatsa bo nikozo. Ãdere Peduru tsy. Tõhõryk pihik bo zioktsoktsokoknaha."
40,4,19,"Sesus ispe niy:<CM>— Uta kapik tynaunaha! Tapara piknutsa ziknasidokonaha. Abaka, uta katuk, mektsa tu tysitsumuẽhĩnaha. Kytsa bo Deus soho tsimytsasonaha. Ahaharere humo ka aparakbaha Deus harere bo hyỹ maha — niy.<CM>"
40,4,20,"Iwaze atsoko tahatõhõryk zerekbaiknaha. Sesus hapik niukurunaha, ituk pinymyrynaha.<CM>"
40,4,21,"Ana puẽtsik Sesus zitabakaze mektsa botu nikozo. Tsiaku, Suão ahatsa bo niwatihi nikozozo. Suão Tsiaku tsy. Tsaraha eze tahazo tuk tahatõhõryk zizozikiknaha. Iwaze Sesus nisihuahuaka."
40,4,22,Iwaze atsoko tahazo zerekeknaha tsaraha niwatihi. Sesus hapik niukurunaha atahi nisihyrinymyryky.<CM>
40,4,23,"<TS1>Sesus nisihyrinymyryky iwatatu nisizororowyky.<Ts>Kyze nanabyitaba Karireja bo Sesus niukuru. Deus wahoro bo nikaraze kytsa nisihyrinymyryky. Deus wasania ty sizubarẽtsa bo nipamykysoko. Hawa kytsa Deus tyryktsa moziknaha nitsasoko. Kytsa simyitsapyritsa nisizororowy, ustsa batu siaku nisipunihikwyky.<CM>"
40,4,24,"Hawa haty nikara kytsa sizubarẽtsa ziwabynaha. Nanabyitaba Sirija bo niwatihi kytsa isoho ziwabykynaha. Iwatsahi simyitsapyritsa, asaktsa hyrikoso sapybara sibo pororo ziknakaranaha kuanare zikybyikitsa asaktsa sityrykmyitsa iwatsa sizubarẽtsa ibo nisioktyhyryknaha. Sizubarẽtsa nisizororowy."
40,4,25,"Sizubarẽtsa Sesus hapik niukurunaha. Karireja ezektsa, Dekaporis ezektsa, Serusarẽhe ezektsa, Sudeja ezektsa, buburu Sorodão koiknyktsa iwatsa sizubarẽtsa Sesus hapik niukurunaha.<CM>"
40,5,1,<TS1>Hawa kytsa sakurẽtsa moziknaha.<Ts>Kyze Sesus myzubaha bo iktsa niyze hara bo nido. Anaeze tadyhy zinymyrykynahatsa ibo zumunaha.
40,5,2,Iwaze nisihyrinymyryky ispe niy:<CM>
40,5,3,<TS1>Sesus sakurẽtsa soho nisihyrinymyryky.<Ts><PI>— O sakurẽtsa asaktsa tahapetu sisopyk zeka “O Deus ikia soho humo batu myhyrinymyry” — maha.<CI><PI2>Sihyrinymyrybyitsa tuze Deus tyryktsa moziknaha.<CI>
40,5,4,"<PI>— O sakurẽtsa asaktsa sisukatsihikrẽtsa tahamysapybara humo iwaze Deus hi mysiakuwyky,<CI><PI2>sakurẽtsa moziknaha.<CI>"
40,5,5,"<PI>— O sakurẽtsa asaktsa ba zik tahakyrinaha Deus harere bo zuba hyỹ mykaranaha,<CI><PI2>iwaze Deus tsizubarẽna ty sibo nyny mykara.<CI>"
40,5,6,"<PI>— O sakurẽtsa asaktsa hawa Deus mozihikik zuba anahumo hi hyỹ mozihikiknaha, Deus mysitsumuẽhĩ iwaze simysapyrẽtsa moziknaha.<CI>"
40,5,7,<PI>— O sakurẽtsa asaktsa ustsa kytsa mysisapywykynaha<CI><PI2>hawaze Deus sibo hi pisapywyky.<CI>
40,5,8,"<PI>— O sakurẽtsa asaktsa Deus humo zuba mytsaty mykaranaha,<CI><PI2>hawa ihumo simypokzitsiukrẽtsa moziknaha, iwatsahi asahi zuba Deus tuk mynapykyknaha.<CI>"
40,5,9,<PI>— O sakurẽtsa asaktsa kytsa naharape harereziuzonaha iwaze siharereziuwy moziknaha.<CI><PI2>Deus ispe: “kahyrytsa isopyk. Kawatsa maha” — my.<CI>
40,5,10,"<PI>— O sakurẽtsa asaktsa kytsa mysiapikiknahaze Deus harere bo hyỹ mykaranaha humo,<CI><PI2>asahi Deus tyryktsa moziknaha.<CM>"
40,5,11,— Ahakurẽtsa ustsa kytsa ahasoho mybarapetu mykaranahaze katuk kytsa humo iwaze ahakurẽtsa tsimaha. Pahamyijakaranahaze ahakurẽtsa tsimaha. Pahasukyrykynahaze kahumo ahakurẽtsaktsa. Nawaze ikiahatsa katuktsa humo tsimaha ahakurẽtsaktsa!
40,5,12,Tsahayzikrẽtsaktsa! Katuktsa babatsa tsimaha zeka ahanamy bijoikpe eze tu tsizubarẽna my. Pahapikiknaha zeka tsahayzikrẽtsa. Tubabatu kytsa Deus sohokotsa nisimyijakanaha atsawatu pahamyijakazonaha. Iwaze ahakurẽtsaktsa! — Sesus niy.<CM>
40,5,13,<TS1>Poro waha humo nimyspirikpoko iwaze rika waha humo niwatihi.<Ts>Kyze Sesus tihi:<CM>— Ikiahatsa poro watsa tsimaha. Myzubaha mysitsumuẽhĩnaha. Katsaktsa poro mydisahawy tsimytsakykynahaze tisapyrẽna my. Iwa ikiahatsa kytsa tsimysitsumuẽhĩnahaze tisapyrẽna my. Poro mytsarakbyrize ba ziktsakykynaha. Poro wytyk kykywy humo batu sapy. Iwaze ape bo tututaha. Tahorobaik zuba. Ana bete kytsa mopaparibaiknaha. Ikiahatsa ahamysapybyitsa tu tsimykaranaha zeka ustsa kytsa batu isty tsumuẽhĩ poro iõrỹkbara wa tsimoziknaha.<CM>
